INFO: === App start 2025-08-18 23:56:50 ===
INFO: Python 3.13.5 (tags/v3.13.5:6cb20a2, Jun 11 2025, 16:15:46) [MSC v.1943 64 bit (AMD64)]
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 39 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 97 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 97 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 39 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 39 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 97 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 97 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 39 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 170 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 97 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 39 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 39 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243)
INFO: Event 39 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714)
INFO: Custom theme applied: Blackhole Black (beta)
INFO: SettingsPage: UI scale -> 100% (100%)
INFO: Event 39 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 97 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 97 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 39 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 39 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 97 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 97 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 39 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 105 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 75 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 170 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 97 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 69 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 69 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 75 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 39 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 97 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 97 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 39 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 69 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 69 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 75 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 39 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 97 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 97 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 39 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 69 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 69 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 69 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 69 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 69 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 13 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 14 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 13 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 14 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 17 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 26 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 13 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 14 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 17 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 26 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 17 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 183 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
WARNING: QPainter::begin: Paint device returned engine == 0, type: 3
WARNING: QPainter::setCompositionMode: Painter not active
WARNING: QPainter::fillRect: Painter not active
WARNING: QPainter::setCompositionMode: Painter not active
WARNING: QPainter::setBrush: Painter not active
WARNING: QPainter::setPen: Painter not active
WARNING: QPainter::drawPath: Painter not active
WARNING: QPainter::setPen: Painter not active
WARNING: QPainter::setFont: Painter not active
WARNING: QPainter::setFont: Painter not active
WARNING: QPainter::setBrush: Painter not active
WARNING: QPainter::setPen: Painter not active
WARNING: QPainter::setPen: Painter not active
WARNING: QPainter::setBrush: Painter not active
WARNING: QPainter::setPen: Painter not active
WARNING: QPainter::setPen: Painter not active
WARNING: QPainter::setBrush: Painter not active
WARNING: QPainter::setPen: Painter not active
WARNING: QPainter::setPen: Painter not active
WARNING: QPainter::end: Painter not active, aborted
INFO: Event 26 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Settings loaded from E:\Projects\Code-Combiner-for-LLMs\exclusion_settings.json
INFO: Event 77 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 68 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 74 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 75 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 97 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 97 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 76 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 74 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 76 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 71 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 74 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 76 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 78 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 78 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 78 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 77 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 13 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 14 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 14 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 14 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 13 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 24 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 24 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 24 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 99 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 12 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 12 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 12 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 76 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 77 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 12 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 12 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 12 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
INFO: Event 76 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=714) (ss_len=714)
INFO: Event 10 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 183 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 76 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 77 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=504) (ss_len=504)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=243) (ss_len=243)
